Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Pattern Customize Options,Kit Cost,Kit Type,Cyrus Customize Price,Buy,Sell,Color 1,Color 2,Size,Surface,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID
? Block,,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,1350,337,Yellow,White,1x1,No,NA,NA,Nook Shopping Promotion,Not available before March 1st 2021,NA,NA,201,fancy,child's room,Mario,None,None,No,Mario,Yes,Does not play music,No lighting,Not in catalog,1.8.0,Yes,FtrMarioSquareA,NA,13821,mxpHakMcmNJgMH5eo
2021 celebratory arch,,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,2021,505,Yellow,Gray,3x1,No,NA,NA,Nook Shopping Seasonal,,New Year's Day (2021),Yes,201,party,None,None,None,None,No,Arch,Yes,Does not play music,No lighting,Seasonal,1.6.0,Yes,Ftr2021Arch,NA,13543,kzegJttZt8DzxwamN
2022 celebratory arch,,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,2022,505,Aqua,Gray,3x1,No,NA,NA,Nook Shopping Seasonal,,New Year's Day (2022),Yes,201,party,None,None,None,None,No,Arch,Yes,Does not play music,No lighting,Seasonal,2.0.0,Yes,Ftr2022Arch,NA,14590,7sEJLEMRhmr8kh4pG
ABD,,Silver,Color,NA,NA,No,No,No,NA,NA,None,8000,NFS,49500,Gray,Gray,1x1,No,9900,Nook Miles,Nook Miles Redemption,,NA,NA,151,facility,city life,None,None,None,Yes,Shop,No,Does not play music,No lighting,Not for sale,2.0.0,Yes,FtrATM_Remake_0_0,0_0,14575,pdwvaGBRsGoyDWcuC
ABD,,Blue,Color,NA,NA,No,No,No,NA,NA,None,8000,NFS,49500,Blue,Aqua,1x1,No,9900,Nook Miles,Nook Miles Redemption,,NA,NA,151,facility,city life,None,None,None,Yes,Shop,No,Does not play music,No lighting,Not for sale,2.0.0,Yes,FtrATM_Remake_1_0,1_0,14575,8C6KfKTkJ3QLc4ZL9
ABD,,Yellow,Color,NA,NA,No,No,No,NA,NA,None,8000,NFS,49500,Yellow,Gray,1x1,No,9900,Nook Miles,Nook Miles Redemption,,NA,NA,151,facility,city life,None,None,None,Yes,Shop,No,Does not play music,No lighting,Not for sale,2.0.0,Yes,FtrATM_Remake_2_0,2_0,14575,uPjaQLa2orrPGTofd
ABD,,Red,Color,NA,NA,No,No,No,NA,NA,None,8000,NFS,49500,Red,White,1x1,No,9900,Nook Miles,Nook Miles Redemption,,NA,NA,151,facility,city life,None,None,None,Yes,Shop,No,Does not play music,No lighting,Not for sale,2.0.0,Yes,FtrATM_Remake_3_0,3_0,14575,uZctRXKg5NeSGiX6w
ABD,,Green,Color,NA,NA,No,No,No,NA,NA,None,8000,NFS,49500,Green,Green,1x1,No,9900,Nook Miles,Nook Miles Redemption,,NA,NA,151,facility,city life,None,None,None,Yes,Shop,No,Does not play music,No lighting,Not for sale,2.0.0,Yes,FtrATM_Remake_4_0,4_0,14575,WGRGqoKMrQyjombYq
acoustic guitar,,Natural,Color,NA,NA,Yes,Yes,No,NA,5,Normal,3800,NFS,3210,Beige,Brown,1x1,No,NA,NA,Crafting,,NA,NA,103,music,None,None,None,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrAcorsticguitar_Remake_0_0,0_0,383,EpywQXABBcv2dipsP
acoustic guitar,,Cherry,Color,NA,NA,Yes,Yes,No,NA,5,Normal,3800,NFS,3210,Red,Black,1x1,No,NA,NA,Crafting,,NA,NA,103,music,None,None,None,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrAcorsticguitar_Remake_1_0,1_0,383,K9she5Y4SuXA8MGBR
acoustic guitar,,Brown,Color,NA,NA,Yes,Yes,No,NA,5,Normal,3800,NFS,3210,Brown,Black,1x1,No,NA,NA,Crafting,,NA,NA,103,music,None,None,None,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrAcorsticguitar_Remake_2_0,2_0,383,vLq9iphAvALBXazDr
acoustic guitar,,Blue,Color,NA,NA,Yes,Yes,No,NA,5,Normal,3800,NFS,3210,Blue,Black,1x1,No,NA,NA,Crafting,,NA,NA,103,music,None,None,None,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrAcorsticguitar_Remake_3_0,3_0,383,nuqeFzNE5PneqGHaj
acoustic guitar,,White,Color,NA,NA,Yes,Yes,No,NA,5,Normal,3800,NFS,3210,White,Black,1x1,No,NA,NA,Crafting,,NA,NA,103,music,None,None,None,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrAcorsticguitar_Remake_4_0,4_0,383,DotFsojrhCwrLZ3TF
acoustic guitar,,Black,Color,NA,NA,Yes,Yes,No,NA,5,Normal,3800,NFS,3210,Black,Black,1x1,No,NA,NA,Crafting,,NA,NA,103,music,None,None,None,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrAcorsticguitar_Remake_5_0,5_0,383,RuRMFyvWnDC2SoG8m
acoustic guitar,,Pink,Color,NA,NA,Yes,Yes,No,NA,5,Normal,3800,NFS,3210,Pink,White,1x1,No,NA,NA,Crafting,,NA,NA,103,music,None,None,None,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrAcorsticguitar_Remake_6_0,6_0,383,NWv9CJfSPtBTKoL4B
alto saxophone,,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,3400,850,Yellow,Yellow,1x1,No,3100,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",NA,NA,151,music,None,None,None,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAltosax,NA,846,yAj7DyFRDjWbh7qYP
amazing machine,,Silver,Color,NA,NA,No,No,No,NA,NA,None,5200,140000,35000,Gray,Black,2x1,Yes,126000,Poki,Nook's Cranny; HHP Office,,NA,NA,151,lab,sci-fi,None,None,None,Yes,Facility Decor,No,Does not play music,No lighting,For sale,2.0.0,Yes,FtrMadMachineA_Remake_0_0,0_0,13516,KMRdcmR2J8GJh6nuJ
amazing machine,,White,Color,NA,NA,No,No,No,NA,NA,None,5200,140000,35000,White,Gray,2x1,Yes,126000,Poki,Nook's Cranny; HHP Office,,NA,NA,151,lab,sci-fi,None,None,None,Yes,Facility Decor,No,Does not play music,No lighting,For sale,2.0.0,Yes,FtrMadMachineA_Remake_1_0,1_0,13516,aNHLnrckdSpSaWpz8
amazing machine,,Black,Color,NA,NA,No,No,No,NA,NA,None,5200,140000,35000,Black,Gray,2x1,Yes,126000,Poki,Nook's Cranny; HHP Office,,NA,NA,151,lab,sci-fi,None,None,None,Yes,Facility Decor,No,Does not play music,No lighting,For sale,2.0.0,Yes,FtrMadMachineA_Remake_2_0,2_0,13516,sHZZAGBYAwxCCreh6
amazing machine,,Green,Color,NA,NA,No,No,No,NA,NA,None,5200,140000,35000,Green,Gray,2x1,Yes,126000,Poki,Nook's Cranny; HHP Office,,NA,NA,151,lab,sci-fi,None,None,None,Yes,Facility Decor,No,Does not play music,No lighting,For sale,2.0.0,Yes,FtrMadMachineA_Remake_3_0,3_0,13516,d4MPWirqS8dXLRmq8
amazing machine,,Blue,Color,NA,NA,No,No,No,NA,NA,None,5200,140000,35000,Blue,Brown,2x1,Yes,126000,Poki,Nook's Cranny; HHP Office,,NA,NA,151,lab,sci-fi,None,None,None,Yes,Facility Decor,No,Does not play music,No lighting,For sale,2.0.0,Yes,FtrMadMachineA_Remake_4_0,4_0,13516,zAAjv2dFWNNmkTuNw
amazing machine,,Red,Color,NA,NA,No,No,No,NA,NA,None,5200,140000,35000,Red,Black,2x1,Yes,126000,Poki,Nook's Cranny; HHP Office,,NA,NA,151,lab,sci-fi,None,None,None,Yes,Facility Decor,No,Does not play music,No lighting,For sale,2.0.0,Yes,FtrMadMachineA_Remake_5_0,5_0,13516,TJ6PNAAJNFkWcbvni
amazing machine,,Yellow,Color,NA,NA,No,No,No,NA,NA,None,5200,140000,35000,Yellow,Black,2x1,Yes,126000,Poki,Nook's Cranny; HHP Office,,NA,NA,151,lab,sci-fi,None,None,None,Yes,Facility Decor,No,Does not play music,No lighting,For sale,2.0.0,Yes,FtrMadMachineA_Remake_6_0,6_0,13516,fTged5ygWqbGqzRn9
amazing machine,,Damaged,Color,NA,NA,No,No,No,NA,NA,None,5200,140000,35000,Gray,Black,2x1,Yes,126000,Poki,Nook's Cranny; HHP Office,,NA,NA,151,lab,sci-fi,None,None,None,Yes,Facility Decor,No,Does not play music,No lighting,For sale,2.0.0,Yes,FtrMadMachineA_Remake_7_0,7_0,13516,QwnSt6qWjfAFB4j3i
amp,,Black,Color,NA,NA,No,No,No,NA,NA,None,1700,5100,1275,Black,Brown,1x1,No,4600,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,concert,None,None,None,None,No,Audio,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAmp_Remake_0_0,0_0,849,p7Drmf7Jh2eNhbcos
amp,,White,Color,NA,NA,No,No,No,NA,NA,None,1700,5100,1275,White,Gray,1x1,No,4600,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,concert,None,None,None,None,No,Audio,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAmp_Remake_1_0,1_0,849,MyyKQjQLoNwRBxotN
amp,,Orange,Color,NA,NA,No,No,No,NA,NA,None,1700,5100,1275,Orange,Black,1x1,No,4600,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,concert,None,None,None,None,No,Audio,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAmp_Remake_2_0,2_0,849,RvK5HfWmj3JiarEuv
amp,,Brown,Color,NA,NA,No,No,No,NA,NA,None,1700,5100,1275,Brown,Beige,1x1,No,4600,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,concert,None,None,None,None,No,Audio,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAmp_Remake_3_0,3_0,849,tBcdytBjuxSm9d2fZ
amp,,Blue,Color,NA,NA,No,No,No,NA,NA,None,1700,5100,1275,Blue,Black,1x1,No,4600,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,concert,None,None,None,None,No,Audio,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAmp_Remake_4_0,4_0,849,AmLfDtSibYyBDrMmY
